ad_id,Unique ID,segment,scrape_date,created_date,updated_date,Estate,saleable_area_ft2,gross_area_ft2,price_hkdm,rent_hkd,Duplicated,pricechange,latest_date_filter
2783694,27836942023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,Harbour Green Kowloon Olympic Block and Unit: 3-seat E Building age: 16 Year Show more info about the Estate Harbour Green,478.0,621.0,8.38,,Y,False,N
2783693,27836932023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"Phase 1B Of The Campton Kowloon Cheung Sha Wan Block and Unit: Low Floor,Phase 1B Of The Campton Building age: 2 Year Show more info about the Estate Phase 1B Of The Campton",477.0,,7.8,,Y,False,N
2783670,27836702023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"Double Cove PHASE 4 New Territories Ma On Shan Block and Unit: Room G, Block 8 Building age: 6 Year Show more info about the Estate Double Cove",551.0,,9.0,,Y,False,N
2783469,27834692023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,Kensington House Kowloon Kowloon City Block and Unit: D Show more info about the Estate Kensington House,343.0,,4.6,,Y,False,N
2783679,27836792023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,Metro City PHASE III New Territories Tseung Kwan O Block and Unit: Tower 01B Building age: 23 Year Show more info about the Estate Metro City,406.0,573.0,6.6,,Y,False,N
2783581,27835812023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,Mountain Shore New Territories Ma On Shan Block and Unit: 5 seat A Building age: 23 Year Show more info about the Estate Mountain Shore,646.0,818.0,9.0,,Y,False,N
2783481,27834812023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"Century Link PHASE 1 Islands Tung Chung Block and Unit: Room 6, Tower 3A Building age: 7 Year Show more info about the Estate Century Link",381.0,,5.5,,Y,False,N
2783476,27834762023-09-14,Residential,2023-09-14,2023-09-11,2023-09-12,"Prosperous Garden Kowloon Yau Ma Tei Block and Unit: Unit B,Low Floor,BLOCK 1 Building age: 32 Year Show more info about the Estate Prosperous Garden",700.0,,8.8,,Y,False,N
2783490,27834902023-09-14,Residential,2023-09-14,2023-09-11,2023-09-12,Forest Hill New Territories Tai Po Block and Unit: 15 seats Show more info about the Estate Forest Hill,1551.0,2136.0,15.8,,Y,False,N
2783487,27834872023-09-14,Residential,2023-09-14,2023-09-11,2023-09-12,"Mei Foo Sun Chuen Phase 2 Kowloon Mei Foo Block and Unit: No. 017 D, Geely Path Building age: 51 Year Show more info about the Estate Mei Foo Sun Chuen",705.0,940.0,7.2,,Y,False,N
